Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee By Mail 3 - 77,6,5,2
ICC-Absentee By Mail 7 - 123,30,20,0
ICC-Absentee By Mail 3 - 78,17,30,2
ICC-Absentee By Mail 5 - 9,3,3,0
ICC-Absentee By Mail 5 - 10,3,11,0
ICC-Absentee By Mail 7 - 124,14,24,0
ICC-Absentee By Mail 3 - 79,17,32,1
ICC-Absentee By Mail 3 - 80,23,24,3
ICC-Absentee By Mail 7 - 125,18,29,1
ICC-Absentee By Mail 7 - 126,22,28,0
ICC-Absentee By Mail 3 - 81,24,25,1
ICC-Absentee By Mail 7 - 127,20,27,0
ICC-Absentee By Mail 3 - 82,17,31,1
ICC-Absentee By Mail 3 - 83,21,28,1
ICC-Absentee By Mail 3 - 84,22,28,0
ICC-Absentee By Mail 7 - 128,26,22,1
ICC-Absentee By Mail 3 - 85,24,23,0
ICC-Absentee By Mail 7 - 129,23,27,0
ICC-Absentee By Mail 3 - 86,23,27,0
ICC-Absentee By Mail 3 - 87,19,27,2
ICC-Absentee By Mail 7 - 130,18,31,0
ICC-Absentee By Mail 7 - 131,14,32,2
ICC-Absentee By Mail 3 - 88,23,25,1
ICC-Absentee By Mail 3 - 89,20,14,1
ICC-Absentee By Mail 7 - 132,27,22,0
ICC-Absentee By Mail 3 - 90,14,35,0
ICC-Absentee By Mail 7 - 133,16,32,2
ICC-Absentee By Mail 7 - 134,17,32,1
ICC-Absentee By Mail 3 - 91,16,32,0
ICC-Absentee By Mail 7 - 135,15,30,0
ICC-Absentee By Mail 3 - 92,19,31,0
ICC-Absentee By Mail 7 - 136,16,34,0
ICC-Absentee By Mail 7 - 137,12,37,0
ICC-Absentee By Mail 3 - 93,11,24,1
ICC-Absentee By Mail 7 - 138,25,25,0
ICC-Absentee By Mail 3 - 94,2,13,0
ICC-Absentee By Mail 3 - 95,18,31,0
ICC-Absentee By Mail 7 - 139,25,24,1
ICC-Absentee By Mail 3 - 96,2,13,0
ICC-Absentee By Mail 7 - 140,26,17,0
ICC-Absentee By Mail 3 - 97,7,7,0
ICC-Absentee By Mail 7 - 141,20,26,2
ICC-Absentee By Mail 3 - 98,18,29,2
ICC-Absentee By Mail 7 - 142,11,37,2
ICC-Absentee By Mail 3 - 99,7,13,0
ICC-Absentee By Mail 7 - 143,10,21,0
ICC-Absentee By Mail 3 - 100,14,33,1
ICC-Absentee By Mail 7 - 144,11,18,0
ICC-Absentee By Mail 3 - 101,21,26,3
ICC-Absentee By Mail 3 - 102,23,26,2
ICC-Absentee By Mail 7 - 145,6,10,0
ICC-Absentee By Mail 3 - 103,13,34,3
ICC-Absentee By Mail 7 - 146,9,15,0
ICC-Absentee By Mail 3 - 104,22,27,0
ICC-Absentee By Mail 7 - 147,21,28,1
ICC-Absentee By Mail 3 - 105,4,5,0
ICC-Absentee By Mail 3 - 106,23,25,0
ICC-Absentee By Mail 7 - 148,13,18,0
ICC-Absentee By Mail 7 - 149,3,7,0
ICC-Absentee By Mail 3 - 107,19,20,1
ICC-Absentee By Mail 7 - 150,15,33,1
ICC-Absentee By Mail 3 - 108,20,26,0
ICC-Absentee By Mail 7 - 151,8,15,0
ICC-Absentee By Mail 3 - 109,20,30,0
ICC-Absentee By Mail 3 - 110,17,30,1
ICC-Absentee By Mail 7 - 152,18,31,0
ICC-Absentee By Mail 7 - 153,10,6,0
ICC-Absentee By Mail 3 - 111,10,14,1
ICC-Absentee By Mail 7 - 154,9,5,0
ICC-Absentee By Mail 3 - 112,12,12,0
ICC-Absentee By Mail 7 - 155,14,11,0
ICC-Absentee By Mail 3 - 113,23,21,0
ICC-Absentee By Mail 3 - 114,13,22,1
ICC-Absentee By Mail 7 - 156,26,22,1
ICC-Absentee By Mail 3 - 115,8,22,1
ICC-Absentee By Mail 7 - 157,24,25,0
ICC-Absentee By Mail 5 - 11,13,11,0
ICC-Absentee By Mail 7 - 158,32,18,0
ICC-Absentee By Mail 3 - 116,16,32,1
ICC-Absentee By Mail 3 - 117,17,32,1
