Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail 4 - 37,13,34,0
ICC - Absentee By Mail 4 - 357,19,29,0
ICC - Absentee By Mail 4 - 340,7,13,0
ICC - Absentee By Mail 4 - 341,2,45,0
ICC - Absentee By Mail 4 - 356,3,47,0
ICC - Absentee By Mail 4 - 342,14,29,0
ICC - Absentee By Mail 4 - 343,9,38,1
ICC - Absentee By Mail 4 - 34,15,33,1
ICC - Absentee By Mail 4 - 338,20,26,2
ICC - Absentee By Mail 4 - 334,23,25,0
ICC - Absentee By Mail 4 - 339,21,23,2
ICC - Absentee By Mail 4 - 335,21,24,0
ICC - Absentee By Mail 4 - 352,9,35,0
ICC - Absentee By Mail 4 - 345,14,35,1
ICC - Absentee By Mail 4 - 336,13,33,1
ICC - Absentee By Mail 4 - 337,12,35,1
ICC - Absentee By Mail 4 - 344,25,22,0
ICC - Absentee By Mail 4 - 354,4,32,1
ICC - Absentee By Mail 4 - 353,11,35,0
ICC - Absentee By Mail 4 - 351,16,29,0
ICC - Absentee By Mail 4 - 355,10,39,1
ICC - Absentee By Mail 4 - 350,18,27,2
ICC - Absentee By Mail 4 - 346,3,35,0
ICC - Absentee By Mail 4 - 348,5,27,1
ICC - Absentee By Mail 4 - 35,2,46,0
ICC - Absentee By Mail 4 - 349,6,37,0
ICC - Absentee By Mail 4 - 347,13,28,0
ICC - Absentee By Mail 4 - 1,12,32,0
ICC - Absentee By Mail 4 - 430,0,5,0
ICC - Absentee By Mail 4 - 429,0,10,0
ICC - Absentee By Mail 4 - 457,2,8,0
ICC - Absentee By Mail 4 - 428,1,22,0
ICC - Absentee By Mail 4 - 431,16,31,3
ICC - Absentee By Mail 4 - 432,2,17,0
ICC - Absentee By Mail 4 - 435,2,18,0
ICC - Absentee By Mail 4 - 434,1,16,0
ICC - Absentee By Mail 4 - 433,4,11,0
ICC - Absentee By Mail 4 - 427,14,30,0
ICC - Absentee By Mail 4 - 426,20,21,3
ICC - Absentee By Mail 4 - 420,13,29,1
ICC - Absentee By Mail 4 - 419,7,42,1
ICC - Absentee By Mail 4 - 418,4,41,1
ICC - Absentee By Mail 4 - 421,10,24,0
ICC - Absentee By Mail 4 - 422,3,23,0
ICC - Absentee By Mail 4 - 425,1,22,0
ICC - Absentee By Mail 4 - 424,6,30,1
ICC - Absentee By Mail 4 - 423,2,22,2
ICC - Absentee By Mail 4 - 436,16,32,2
ICC - Absentee By Mail 4 - 437,18,10,0
ICC - Absentee By Mail 4 - 438,1,35,1
ICC - Absentee By Mail 4 - 451,0,14,0
ICC - Absentee By Mail 4 - 450,1,13,0
ICC - Absentee By Mail 4 - 449,5,20,0
ICC - Absentee By Mail 4 - 452,3,8,0
ICC - Absentee By Mail 4 - 453,19,21,1
ICC - Absentee By Mail 4 - 456,1,7,0
ICC - Absentee By Mail 4 - 455,3,11,0
ICC - Absentee By Mail 4 - 454,0,5,0
ICC - Absentee By Mail 4 - 448,1,14,0
ICC - Absentee By Mail 4 - 447,10,15,0
ICC - Absentee By Mail 4 - 441,1,4,0
ICC - Absentee By Mail 4 - 440,1,2,0
ICC - Absentee By Mail 4 - 439,7,17,0
ICC - Absentee By Mail 4 - 442,5,15,0
ICC - Absentee By Mail 4 - 446,7,12,1
ICC - Absentee By Mail 4 - 445,13,15,0
ICC - Absentee By Mail 4 - 444,0,11,0
ICC - Absentee By Mail 4 - 417,7,22,1
ICC - Absentee By Mail 4 - 443,13,6,1
ICC - Absentee By Mail 2 - 44,0,10,0
ICC - Absentee By Mail 2 - 43,1,14,0
ICC - Absentee By Mail 2 - 42,3,45,0
ED-FA01C ICP 1 - 0,7,29,1
AV-Chastain Park Rec Center ICP 3 - 0,580,461,20
AV-High Museum of Art ICP 3 - 0,170,737,8
AV-Northside Library ICP 3 - 0,1731,1305,61
AV-East Point Library ICP 3 - 0,1,0,0
AV-East Roswell Library ICP 3 - 0,360,457,22
AV-Milton Library ICP 3 - 0,607,346,36
AV-Wolf Creek Library ICP 3 - 0,141,1971,18
AV-Buckhead Library ICP 3 - 0,1539,2792,76
AV-Roswell Library ICP 3 - 0,2511,1808,138
AV-Robert F. Fulton Ocee Library ICP 3 - 0,2750,2390,103
AV-Ponce De Leon Library ICP 3 - 0,1027,5220,46
AV-Alpharetta Library ICP 3 - 0,3386,2724,160
ED-SC14A-SC30A-SC30B ICP 1 - 0,25,138,6
ED-SC08A-SC08B-SC08I ICP 1 - 0,32,377,5
ED-SS20-SS29B ICP 1 - 0,114,157,10
ED-09C-10E-10P ICP 1 - 0,58,582,22
03P1A-03P1B-03P2 ICP 2 - 0,79,301,8
03P1A-03P1B-03P2 ICP 1 - 0,65,248,12
ED-SC08J-SC19A-SC19B ICP 2 - 0,8,80,1
03N ICP 1 - 0,41,286,9
ED-SC11B-SC29B ICP 1 - 0,6,83,2
ED-SC11B-SC29B ICP 2 - 0,10,89,2
ED-SC08J-SC19A-SC19B ICP 1 - 0,12,85,1
ED-CP011 ICP 1 - 0,32,95,8
AV-CT Martin Rec Center ICP 3 - 0,124,2138,23
ED-RW22A-RW22B-RW22C ICP 1 - 0,105,125,14
ED-RW22A-RW22B-RW22C ICP 2 - 0,150,207,13
AV-Cedar Grove Church of Christ ICP 2 - 0,100,514,8
AV-Burdett Park Gym ICP 1 - 0,72,1044,13
AV-Burdett Park Gym ICP 2 - 0,109,1717,13
AV-Cedar Grove Church of Christ ICP 1 - 0,62,316,7
AV-Dogwood Library ICP 2 - 0,120,1155,16
AV-Dogwood Library ICP 1 - 0,92,1110,23
AV-Dorothy Benson Senior Ctr ICP 2 - 0,2445,2692,101
AV-Dorothy Benson Senior Ctr ICP 1 - 0,2567,2563,110
AV-Atlanta Metropolitan State College ICP 1 - 0,5,42,3
AV-Milton Community Ctr ICP 2 - 0,1108,392,41
